seed,algorithm,load,total_joins,accepted,acceptance_rate,stale_rejections,stale_rejection_rate,first_rejection,mean_path_len,mean_bottleneck,flooded
0,swp,10.0,54,54,1.0,0,0.0,,11.037,97.1,0
0,pruned,10.0,54,54,1.0,0,0.0,,11.037,97.5,0
0,sp,10.0,54,54,1.0,0,0.0,,11.037,97.5,0
1,swp,10.0,50,50,1.0,0,0.0,,8.7,99.8,0
1,pruned,10.0,50,50,1.0,0,0.0,,8.7,103.0,0
1,sp,10.0,50,50,1.0,0,0.0,,8.7,103.0,0
2,swp,10.0,54,54,1.0,0,0.0,,11.37,74.5,0
2,pruned,10.0,54,54,1.0,0,0.0,,11.37,74.0,0
2,sp,10.0,54,54,1.0,0,0.0,,11.37,74.0,0
3,swp,10.0,52,52,1.0,0,0.0,,10.462,108.4,0
3,pruned,10.0,52,52,1.0,0,0.0,,10.462,107.2,0
3,sp,10.0,52,52,1.0,0,0.0,,10.462,107.2,0
4,swp,10.0,48,48,1.0,0,0.0,,10.708,57.9,0
4,pruned,10.0,48,48,1.0,0,0.0,,10.708,56.8,0
4,sp,10.0,48,48,1.0,0,0.0,,10.708,56.8,0
5,swp,10.0,56,56,1.0,0,0.0,,10.268,155.1,0
5,pruned,10.0,56,56,1.0,0,0.0,,10.268,157.2,0
5,sp,10.0,56,56,1.0,0,0.0,,10.268,157.2,0
6,swp,10.0,45,45,1.0,0,0.0,,11.067,97.0,0
6,pruned,10.0,45,45,1.0,0,0.0,,11.067,94.1,0
6,sp,10.0,45,45,1.0,0,0.0,,11.067,94.1,0
7,swp,10.0,38,38,1.0,0,0.0,,11.763,97.3,0
7,pruned,10.0,38,38,1.0,0,0.0,,11.763,97.5,0
7,sp,10.0,38,38,1.0,0,0.0,,11.763,97.5,0
8,swp,10.0,56,56,1.0,0,0.0,,10.429,89.0,0
8,pruned,10.0,56,56,1.0,0,0.0,,10.429,96.2,0
8,sp,10.0,56,56,1.0,0,0.0,,10.429,96.2,0
9,swp,10.0,45,45,1.0,0,0.0,,10.067,94.4,0
9,pruned,10.0,45,45,1.0,0,0.0,,10.067,93.0,0
9,sp,10.0,45,45,1.0,0,0.0,,10.067,93.0,0
0,swp,20.0,111,111,1.0,0,0.0,,10.577,114.3,0
0,pruned,20.0,111,111,1.0,0,0.0,,10.577,114.3,0
0,sp,20.0,111,111,1.0,0,0.0,,10.577,114.3,0
1,swp,20.0,103,103,1.0,0,0.0,,9.223,146.4,0
1,pruned,20.0,103,103,1.0,0,0.0,,9.223,147.6,0
1,sp,20.0,103,103,1.0,0,0.0,,9.223,147.6,0
2,swp,20.0,118,118,1.0,0,0.0,,10.864,117.4,0
2,pruned,20.0,118,118,1.0,0,0.0,,10.864,112.8,0
2,sp,20.0,118,118,1.0,0,0.0,,10.864,112.8,0
3,swp,20.0,106,106,1.0,0,0.0,,10.453,118.7,0
3,pruned,20.0,106,106,1.0,0,0.0,,10.453,117.3,0
3,sp,20.0,106,106,1.0,0,0.0,,10.453,117.3,0
4,swp,20.0,85,85,1.0,0,0.0,,10.012,67.3,0
4,pruned,20.0,85,85,1.0,0,0.0,,10.012,65.9,0
4,sp,20.0,85,85,1.0,0,0.0,,10.012,65.9,0
5,swp,20.0,98,98,1.0,0,0.0,,10.561,126.1,0
5,pruned,20.0,98,98,1.0,0,0.0,,10.561,123.8,0
5,sp,20.0,98,98,1.0,0,0.0,,10.561,123.8,0
6,swp,20.0,85,85,1.0,0,0.0,,11.506,73.1,0
6,pruned,20.0,85,85,1.0,0,0.0,,11.506,74.0,0
6,sp,20.0,85,85,1.0,0,0.0,,11.506,74.0,0
7,swp,20.0,94,94,1.0,0,0.0,,12.17,101.1,0
7,pruned,20.0,94,94,1.0,0,0.0,,12.17,102.6,0
7,sp,20.0,94,94,1.0,0,0.0,,12.17,102.6,0
8,swp,20.0,103,103,1.0,0,0.0,,10.641,97.8,0
8,pruned,20.0,103,103,1.0,0,0.0,,10.641,102.6,0
8,sp,20.0,103,103,1.0,0,0.0,,10.641,102.6,0
9,swp,20.0,97,97,1.0,0,0.0,,10.773,88.8,0
9,pruned,20.0,97,97,1.0,0,0.0,,10.773,88.4,0
9,sp,20.0,97,97,1.0,0,0.0,,10.773,88.4,0
0,swp,50.0,244,244,1.0,0,0.0,,10.275,132.1,0
0,pruned,50.0,244,244,1.0,0,0.0,,10.275,132.6,0
0,sp,50.0,244,244,1.0,0,0.0,,10.275,132.6,0
1,swp,50.0,263,263,1.0,0,0.0,,9.787,84.7,0
1,pruned,50.0,264,264,1.0,0,0.0,,10.155,85.8,2
1,sp,50.0,264,264,1.0,0,0.0,,10.155,85.8,0
2,swp,50.0,278,278,1.0,0,0.0,,10.802,95.9,0
2,pruned,50.0,278,278,1.0,0,0.0,,10.802,94.0,0
2,sp,50.0,278,278,1.0,0,0.0,,10.802,94.0,0
3,swp,50.0,279,279,1.0,0,0.0,,9.903,121.7,0
3,pruned,50.0,279,279,1.0,0,0.0,,9.903,120.6,0
3,sp,50.0,279,279,1.0,0,0.0,,9.903,120.6,0
4,swp,50.0,229,229,1.0,0,0.0,,9.716,108.5,0
4,pruned,50.0,229,229,1.0,0,0.0,,9.716,107.5,0
4,sp,50.0,229,229,1.0,0,0.0,,9.716,107.5,0
5,swp,50.0,258,258,1.0,0,0.0,,10.798,98.8,0
5,pruned,50.0,258,258,1.0,0,0.0,,10.798,96.4,0
5,sp,50.0,258,258,1.0,0,0.0,,10.798,96.4,0
6,swp,50.0,245,245,1.0,0,0.0,,10.886,73.1,2
6,pruned,50.0,250,250,1.0,0,0.0,,10.904,68.6,2
6,sp,50.0,250,250,1.0,0,0.0,,10.904,68.6,0
7,swp,50.0,252,252,1.0,0,0.0,,11.829,95.0,0
7,pruned,50.0,252,252,1.0,0,0.0,,11.829,95.1,0
7,sp,50.0,252,252,1.0,0,0.0,,11.829,95.1,0
8,swp,50.0,249,249,1.0,0,0.0,,10.647,118.6,0
8,pruned,50.0,249,249,1.0,0,0.0,,10.647,120.0,0
8,sp,50.0,249,249,1.0,0,0.0,,10.647,120.0,0
