seed,algorithm,load,total_joins,accepted,acceptance_rate,stale_rejections,stale_rejection_rate,first_rejection,mean_path_len,mean_bottleneck,flooded
0,swp,10.0,51,51,1.0,0,0.0,,2.902,149.7,0
0,pruned,10.0,51,51,1.0,0,0.0,,2.902,149.7,0
0,sp,10.0,51,51,1.0,0,0.0,,2.902,149.7,0
1,swp,10.0,50,50,1.0,0,0.0,,2.66,257.2,0
1,pruned,10.0,50,50,1.0,0,0.0,,2.66,257.2,0
1,sp,10.0,50,50,1.0,0,0.0,,2.66,257.2,0
2,swp,10.0,54,54,1.0,0,0.0,,3.093,240.1,0
2,pruned,10.0,54,54,1.0,0,0.0,,3.093,240.1,0
2,sp,10.0,54,54,1.0,0,0.0,,3.093,240.1,0
3,swp,10.0,52,52,1.0,0,0.0,,3.077,264.8,0
3,pruned,10.0,52,52,1.0,0,0.0,,3.077,264.8,0
3,sp,10.0,52,52,1.0,0,0.0,,3.077,264.8,0
4,swp,10.0,48,48,1.0,0,0.0,,3.104,238.5,0
4,pruned,10.0,48,48,1.0,0,0.0,,3.104,238.5,0
4,sp,10.0,48,48,1.0,0,0.0,,3.104,238.5,0
5,swp,10.0,56,56,1.0,0,0.0,,2.982,157.0,0
5,pruned,10.0,56,56,1.0,0,0.0,,2.982,157.0,0
5,sp,10.0,56,56,1.0,0,0.0,,2.982,157.0,0
6,swp,10.0,45,45,1.0,0,0.0,,2.911,169.6,0
6,pruned,10.0,45,45,1.0,0,0.0,,2.911,169.6,0
6,sp,10.0,45,45,1.0,0,0.0,,2.911,169.6,0
7,swp,10.0,38,38,1.0,0,0.0,,2.921,162.0,0
7,pruned,10.0,38,38,1.0,0,0.0,,2.921,162.0,0
7,sp,10.0,38,38,1.0,0,0.0,,2.921,162.0,0
8,swp,10.0,56,56,1.0,0,0.0,,3.018,190.5,0
8,pruned,10.0,56,56,1.0,0,0.0,,3.018,190.5,0
8,sp,10.0,56,56,1.0,0,0.0,,3.018,190.5,0
9,swp,10.0,45,45,1.0,0,0.0,,2.733,264.8,0
9,pruned,10.0,45,45,1.0,0,0.0,,2.733,264.8,0
9,sp,10.0,45,45,1.0,0,0.0,,2.733,264.8,0
0,swp,20.0,111,111,1.0,0,0.0,,2.955,207.4,0
0,pruned,20.0,111,111,1.0,0,0.0,,2.955,207.4,0
0,sp,20.0,111,111,1.0,0,0.0,,2.955,207.4,0
1,swp,20.0,108,108,1.0,0,0.0,,3.0,196.1,0
1,pruned,20.0,108,108,1.0,0,0.0,,3.0,196.1,0
1,sp,20.0,108,108,1.0,0,0.0,,3.0,196.1,0
2,swp,20.0,118,118,1.0,0,0.0,,3.186,167.4,0
2,pruned,20.0,118,118,1.0,0,0.0,,3.186,167.4,0
2,sp,20.0,118,118,1.0,0,0.0,,3.186,167.4,0
3,swp,20.0,106,106,1.0,0,0.0,,2.981,238.8,0
3,pruned,20.0,106,106,1.0,0,0.0,,2.981,238.8,0
3,sp,20.0,106,106,1.0,0,0.0,,2.981,238.8,0
4,swp,20.0,85,85,1.0,0,0.0,,3.012,218.3,0
4,pruned,20.0,85,85,1.0,0,0.0,,3.012,218.3,0
4,sp,20.0,85,85,1.0,0,0.0,,3.012,218.3,0
5,swp,20.0,98,98,1.0,0,0.0,,2.806,287.6,0
5,pruned,20.0,98,98,1.0,0,0.0,,2.806,287.6,0
5,sp,20.0,98,98,1.0,0,0.0,,2.806,287.6,0
6,swp,20.0,85,85,1.0,0,0.0,,2.906,166.3,0
6,pruned,20.0,85,85,1.0,0,0.0,,2.906,166.3,0
6,sp,20.0,85,85,1.0,0,0.0,,2.906,166.3,0
7,swp,20.0,94,94,1.0,0,0.0,,3.074,173.3,0
7,pruned,20.0,94,94,1.0,0,0.0,,3.074,173.3,0
7,sp,20.0,94,94,1.0,0,0.0,,3.074,173.3,0
8,swp,20.0,103,103,1.0,0,0.0,,3.097,243.6,0
8,pruned,20.0,103,103,1.0,0,0.0,,3.097,243.6,0
8,sp,20.0,103,103,1.0,0,0.0,,3.097,243.6,0
9,swp,20.0,101,101,1.0,0,0.0,,3.0,301.6,0
9,pruned,20.0,101,101,1.0,0,0.0,,3.0,301.6,0
9,sp,20.0,101,101,1.0,0,0.0,,3.0,301.6,0
0,swp,50.0,244,244,1.0,0,0.0,,2.996,213.3,0
0,pruned,50.0,244,244,1.0,0,0.0,,2.996,213.3,0
0,sp,50.0,244,244,1.0,0,0.0,,2.996,213.3,0
1,swp,50.0,257,257,1.0,0,0.0,,2.914,193.2,0
1,pruned,50.0,257,257,1.0,0,0.0,,2.914,193.2,0
1,sp,50.0,257,257,1.0,0,0.0,,2.914,193.2,0
2,swp,50.0,267,267,1.0,0,0.0,,3.019,167.4,0
2,pruned,50.0,267,267,1.0,0,0.0,,3.019,167.4,0
2,sp,50.0,267,267,1.0,0,0.0,,3.019,167.4,0
3,swp,50.0,286,286,1.0,0,0.0,,2.941,270.0,0
3,pruned,50.0,286,286,1.0,0,0.0,,2.941,270.0,0
3,sp,50.0,286,286,1.0,0,0.0,,2.941,270.0,0
4,swp,50.0,237,237,1.0,0,0.0,,2.941,221.2,0
4,pruned,50.0,237,237,1.0,0,0.0,,2.941,221.2,0
4,sp,50.0,237,237,1.0,0,0.0,,2.941,221.2,0
5,swp,50.0,252,252,1.0,0,0.0,,2.956,250.2,0
5,pruned,50.0,252,252,1.0,0,0.0,,2.956,250.2,0
5,sp,50.0,252,252,1.0,0,0.0,,2.956,250.2,0
6,swp,50.0,248,248,1.0,0,0.0,,3.073,151.0,0
6,pruned,50.0,248,248,1.0,0,0.0,,3.073,151.0,0
6,sp,50.0,248,248,1.0,0,0.0,,3.073,151.0,0
7,swp,50.0,252,252,1.0,0,0.0,,3.048,196.2,0
7,pruned,50.0,252,252,1.0,0,0.0,,3.048,196.2,0
7,sp,50.0,252,252,1.0,0,0.0,,3.048,196.2,0
8,swp,50.0,253,253,1.0,0,0.0,,2.909,276.8,0
8,pruned,50.0,253,253,1.0,0,0.0,,2.909,276.8,0
8,sp,50.0,253,253,1.0,0,0.0,,2.909,276.8,0
