seed,algorithm,load,total_joins,accepted,acceptance_rate,stale_rejections,stale_rejection_rate,first_rejection,mean_path_len,mean_bottleneck,flooded
0,swp,10.0,65,65,1.0,0,0.0,,3.938,166.3,0
0,pruned,10.0,65,65,1.0,0,0.0,,3.938,166.3,0
0,sp,10.0,65,65,1.0,0,0.0,,3.938,166.3,0
1,swp,10.0,41,41,1.0,0,0.0,,3.488,224.7,0
1,pruned,10.0,41,41,1.0,0,0.0,,3.488,224.6,0
1,sp,10.0,41,41,1.0,0,0.0,,3.488,224.6,0
2,swp,10.0,55,55,1.0,0,0.0,,4.764,112.1,0
2,pruned,10.0,55,55,1.0,0,0.0,,4.764,112.1,0
2,sp,10.0,55,55,1.0,0,0.0,,4.764,112.1,0
3,swp,10.0,52,52,1.0,0,0.0,,4.038,406.0,0
3,pruned,10.0,52,52,1.0,0,0.0,,4.038,406.0,0
3,sp,10.0,52,52,1.0,0,0.0,,4.038,406.0,0
4,swp,10.0,48,48,1.0,0,0.0,,4.458,148.4,0
4,pruned,10.0,48,48,1.0,0,0.0,,4.458,148.4,0
4,sp,10.0,48,48,1.0,0,0.0,,4.458,148.4,0
5,swp,10.0,47,47,1.0,0,0.0,,3.34,212.7,0
5,pruned,10.0,47,47,1.0,0,0.0,,3.34,212.7,0
5,sp,10.0,47,47,1.0,0,0.0,,3.34,212.7,0
6,swp,10.0,45,45,1.0,0,0.0,,3.978,146.3,0
6,pruned,10.0,45,45,1.0,0,0.0,,3.978,148.6,0
6,sp,10.0,45,45,1.0,0,0.0,,3.978,148.6,0
7,swp,10.0,38,38,1.0,0,0.0,,3.842,140.7,0
7,pruned,10.0,38,38,1.0,0,0.0,,3.842,140.7,0
7,sp,10.0,38,38,1.0,0,0.0,,3.842,140.7,0
8,swp,10.0,61,61,1.0,0,0.0,,4.066,197.5,0
8,pruned,10.0,61,61,1.0,0,0.0,,4.066,197.5,0
8,sp,10.0,61,61,1.0,0,0.0,,4.066,197.5,0
9,swp,10.0,45,45,1.0,0,0.0,,2.978,200.3,0
9,pruned,10.0,45,45,1.0,0,0.0,,2.978,196.9,0
9,sp,10.0,45,45,1.0,0,0.0,,2.978,196.9,0
0,swp,20.0,111,111,1.0,0,0.0,,3.937,162.0,0
0,pruned,20.0,111,111,1.0,0,0.0,,3.937,160.2,0
0,sp,20.0,111,111,1.0,0,0.0,,3.937,160.2,0
1,swp,20.0,99,99,1.0,0,0.0,,3.636,172.4,0
1,pruned,20.0,99,99,1.0,0,0.0,,3.636,172.3,0
1,sp,20.0,99,99,1.0,0,0.0,,3.636,172.3,0
2,swp,20.0,119,119,1.0,0,0.0,,4.286,177.7,0
2,pruned,20.0,119,119,1.0,0,0.0,,4.286,177.7,0
2,sp,20.0,119,119,1.0,0,0.0,,4.286,177.7,0
3,swp,20.0,112,112,1.0,0,0.0,,3.804,331.2,0
3,pruned,20.0,112,112,1.0,0,0.0,,3.804,331.7,0
3,sp,20.0,112,112,1.0,0,0.0,,3.804,331.7,0
4,swp,20.0,85,85,1.0,0,0.0,,4.412,150.5,0
4,pruned,20.0,85,85,1.0,0,0.0,,4.412,150.5,0
4,sp,20.0,85,85,1.0,0,0.0,,4.412,150.5,0
5,swp,20.0,98,98,1.0,0,0.0,,3.806,212.1,0
5,pruned,20.0,98,98,1.0,0,0.0,,3.806,212.1,0
5,sp,20.0,98,98,1.0,0,0.0,,3.806,212.1,0
6,swp,20.0,85,85,1.0,0,0.0,,4.176,146.4,0
6,pruned,20.0,85,85,1.0,0,0.0,,4.176,146.4,0
6,sp,20.0,85,85,1.0,0,0.0,,4.176,146.4,0
7,swp,20.0,93,93,1.0,0,0.0,,3.602,171.4,0
7,pruned,20.0,93,93,1.0,0,0.0,,3.602,170.2,0
7,sp,20.0,93,93,1.0,0,0.0,,3.602,170.2,0
8,swp,20.0,103,103,1.0,0,0.0,,3.777,250.4,0
8,pruned,20.0,103,103,1.0,0,0.0,,3.777,249.7,0
8,sp,20.0,103,103,1.0,0,0.0,,3.777,249.7,0
9,swp,20.0,97,97,1.0,0,0.0,,3.732,110.9,0
9,pruned,20.0,97,97,1.0,0,0.0,,3.732,113.9,0
9,sp,20.0,97,97,1.0,0,0.0,,3.732,113.9,0
0,swp,50.0,255,255,1.0,0,0.0,,3.91,162.3,0
0,pruned,50.0,255,255,1.0,0,0.0,,3.91,161.0,0
0,sp,50.0,255,255,1.0,0,0.0,,3.91,161.0,0
1,swp,50.0,252,252,1.0,0,0.0,,3.881,221.8,0
1,pruned,50.0,252,252,1.0,0,0.0,,3.881,221.7,0
1,sp,50.0,252,252,1.0,0,0.0,,3.881,221.7,0
2,swp,50.0,270,270,1.0,0,0.0,,5.737,113.6,4
2,pruned,50.0,269,269,1.0,0,0.0,,4.115,120.5,1
2,sp,50.0,269,269,1.0,0,0.0,,4.115,120.5,0
3,swp,50.0,266,266,1.0,0,0.0,,3.737,367.2,0
3,pruned,50.0,266,266,1.0,0,0.0,,3.737,368.4,0
3,sp,50.0,266,266,1.0,0,0.0,,3.737,368.4,0
4,swp,50.0,238,238,1.0,0,0.0,,4.727,155.5,13
4,pruned,50.0,240,240,1.0,0,0.0,,3.792,114.1,1
4,sp,50.0,240,240,1.0,0,0.0,,3.792,114.1,0
5,swp,50.0,262,262,1.0,0,0.0,,4.103,193.5,2
5,pruned,50.0,262,262,1.0,0,0.0,,4.084,193.5,2
5,sp,50.0,262,262,1.0,0,0.0,,4.084,193.5,0
6,swp,50.0,245,245,1.0,0,0.0,,5.588,164.4,2
6,pruned,50.0,246,246,1.0,0,0.0,,3.898,151.5,4
6,sp,50.0,246,246,1.0,0,0.0,,3.898,151.5,0
7,swp,50.0,243,243,1.0,0,0.0,,4.074,139.8,0
7,pruned,50.0,243,243,1.0,0,0.0,,4.074,138.1,0
7,sp,50.0,243,243,1.0,0,0.0,,4.074,138.1,0
8,swp,50.0,248,248,1.0,0,0.0,,3.71,278.7,2
8,pruned,50.0,254,254,1.0,0,0.0,,3.74,269.5,3
8,sp,50.0,254,254,1.0,0,0.0,,3.74,269.5,0
9,swp,50.0,263,263,1.0,0,0.0,,4.141,147.3,2
9,pruned,50.0,263,263,1.0,0,0.0,,4.065,145.6,2
9,sp,50.0,263,263,1.0,0,0.0,,4.065,145.6,0
0,swp,100.0,502,502,1.0,0,0.0,,4.239,213.8,9
0,pruned,100.0,513,513,1.0,0,0.0,,3.739,186.0,10
0,sp,100.0,513,513,1.0,0,0.0,,3.739,186.0,0
