seed,algorithm,load,total_joins,accepted,acceptance_rate,stale_rejections,stale_rejection_rate,first_rejection,mean_path_len,mean_bottleneck,flooded
0,swp,10.0,54,54,1.0,0,0.0,,8.778,121.5,0
0,pruned,10.0,54,54,1.0,0,0.0,,8.778,120.4,0
0,sp,10.0,54,54,1.0,0,0.0,,8.778,120.4,0
1,swp,10.0,52,52,1.0,0,0.0,,9.115,81.3,0
1,pruned,10.0,52,52,1.0,0,0.0,,9.115,78.4,0
1,sp,10.0,52,52,1.0,0,0.0,,9.115,78.4,0
2,swp,10.0,54,54,1.0,0,0.0,,9.981,117.6,0
2,pruned,10.0,54,54,1.0,0,0.0,,9.981,97.9,0
2,sp,10.0,54,54,1.0,0,0.0,,9.981,97.9,0
3,swp,10.0,52,52,1.0,0,0.0,,10.308,113.7,0
3,pruned,10.0,52,52,1.0,0,0.0,,10.308,113.7,0
3,sp,10.0,52,52,1.0,0,0.0,,10.308,113.7,0
4,swp,10.0,48,48,1.0,0,0.0,,11.333,69.1,0
4,pruned,10.0,48,48,1.0,0,0.0,,11.333,68.3,0
4,sp,10.0,48,48,1.0,0,0.0,,11.333,68.3,0
5,swp,10.0,56,56,1.0,0,0.0,,11.125,93.8,0
5,pruned,10.0,56,56,1.0,0,0.0,,11.125,94.1,0
5,sp,10.0,56,56,1.0,0,0.0,,11.125,94.1,0
6,swp,10.0,45,45,1.0,0,0.0,,9.556,83.7,0
6,pruned,10.0,45,45,1.0,0,0.0,,9.556,82.6,0
6,sp,10.0,45,45,1.0,0,0.0,,9.556,82.6,0
7,swp,10.0,38,38,1.0,0,0.0,,9.868,84.5,0
7,pruned,10.0,38,38,1.0,0,0.0,,9.868,84.5,0
7,sp,10.0,38,38,1.0,0,0.0,,9.868,84.5,0
8,swp,10.0,56,56,1.0,0,0.0,,10.875,84.4,0
8,pruned,10.0,56,56,1.0,0,0.0,,10.875,85.3,0
8,sp,10.0,56,56,1.0,0,0.0,,10.875,85.3,0
9,swp,10.0,45,45,1.0,0,0.0,,8.356,108.0,0
9,pruned,10.0,45,45,1.0,0,0.0,,8.356,110.0,0
9,sp,10.0,45,45,1.0,0,0.0,,8.356,110.0,0
0,swp,20.0,111,111,1.0,0,0.0,,8.766,118.1,0
0,pruned,20.0,111,111,1.0,0,0.0,,8.766,117.1,0
0,sp,20.0,111,111,1.0,0,0.0,,8.766,117.1,0
1,swp,20.0,108,108,1.0,0,0.0,,9.417,79.3,0
1,pruned,20.0,108,108,1.0,0,0.0,,9.417,77.7,0
1,sp,20.0,108,108,1.0,0,0.0,,9.417,77.7,0
2,swp,20.0,118,118,1.0,0,0.0,,10.076,93.6,0
2,pruned,20.0,118,118,1.0,0,0.0,,10.076,91.3,0
2,sp,20.0,118,118,1.0,0,0.0,,10.076,91.3,0
3,swp,20.0,106,106,1.0,0,0.0,,9.67,110.2,0
3,pruned,20.0,106,106,1.0,0,0.0,,9.67,111.8,0
3,sp,20.0,106,106,1.0,0,0.0,,9.67,111.8,0
4,swp,20.0,85,85,1.0,0,0.0,,10.071,85.0,0
4,pruned,20.0,85,85,1.0,0,0.0,,10.071,84.7,0
4,sp,20.0,85,85,1.0,0,0.0,,10.071,84.7,0
5,swp,20.0,98,98,1.0,0,0.0,,9.724,129.7,0
5,pruned,20.0,98,98,1.0,0,0.0,,9.724,129.4,0
5,sp,20.0,98,98,1.0,0,0.0,,9.724,129.4,0
6,swp,20.0,85,85,1.0,0,0.0,,9.424,79.3,0
6,pruned,20.0,85,85,1.0,0,0.0,,9.424,78.2,0
6,sp,20.0,85,85,1.0,0,0.0,,9.424,78.2,0
7,swp,20.0,93,93,1.0,0,0.0,,10.925,98.3,0
7,pruned,20.0,93,93,1.0,0,0.0,,10.925,102.4,0
7,sp,20.0,93,93,1.0,0,0.0,,10.925,102.4,0
8,swp,20.0,103,103,1.0,0,0.0,,8.097,117.5,0
8,pruned,20.0,103,103,1.0,0,0.0,,8.097,117.9,0
8,sp,20.0,103,103,1.0,0,0.0,,8.097,117.9,0
9,swp,20.0,97,97,1.0,0,0.0,,9.753,184.9,0
9,pruned,20.0,97,97,1.0,0,0.0,,9.753,181.2,0
9,sp,20.0,97,97,1.0,0,0.0,,9.753,181.2,0
0,swp,50.0,244,244,1.0,0,0.0,,9.574,131.1,0
0,pruned,50.0,244,244,1.0,0,0.0,,9.574,127.3,0
0,sp,50.0,244,244,1.0,0,0.0,,9.574,127.3,0
1,swp,50.0,271,271,1.0,0,0.0,,9.86,91.3,2
1,pruned,50.0,275,275,1.0,0,0.0,,9.836,97.8,2
1,sp,50.0,275,275,1.0,0,0.0,,9.836,97.8,0
2,swp,50.0,278,278,1.0,0,0.0,,9.327,120.0,0
2,pruned,50.0,288,288,1.0,0,0.0,,9.372,111.7,4
2,sp,50.0,288,288,1.0,0,0.0,,9.372,111.7,0
3,swp,50.0,279,279,1.0,0,0.0,,9.953,124.4,0
3,pruned,50.0,263,263,1.0,0,0.0,,10.038,114.8,2
3,sp,50.0,263,263,1.0,0,0.0,,10.038,114.8,0
4,swp,50.0,243,243,1.0,0,0.0,,10.165,105.4,2
4,pruned,50.0,249,249,1.0,0,0.0,,9.964,114.0,1
4,sp,50.0,249,249,1.0,0,0.0,,9.964,114.0,0
5,swp,50.0,258,258,1.0,0,0.0,,9.628,113.4,0
5,pruned,50.0,258,258,1.0,0,0.0,,9.628,113.2,0
5,sp,50.0,258,258,1.0,0,0.0,,9.628,113.2,0
6,swp,50.0,218,218,1.0,0,0.0,,9.376,112.2,2
6,pruned,50.0,229,229,1.0,0,0.0,,9.231,88.1,6
6,sp,50.0,229,229,1.0,0,0.0,,9.231,88.1,0
7,swp,50.0,249,249,1.0,0,0.0,,10.647,119.6,0
7,pruned,50.0,249,249,1.0,0,0.0,,10.647,122.6,0
